state,loss,confidence upper,confidence lower,beekeepers,beek exclusive,colonies,colonies exclusive,bexcl
Montana,10.6,17.4,4.3,28,,42233,0.3,60.7
Georgia,14.2,27.2,5.1,87,,30704,8.8,88.5
Idaho,14.5,32.4,2.7,40,,64055,2.2,87.5
Arkansas,17.1,20.1,13.0,39,,2427,14.8,92.3
Texas,17.1,28.0,6.9,146,,47462,13.3,93.2
West Virginia,17.2,24.1,11.4,60,,937,85.7,95.0
North Carolina,18.0,36.5,10.4,231,,6148,27.2,95.7
California,18.3,24.1,13.2,184,,339440,19.2,66.3
MultiStateOperation,19.0,25.0,13.9,139,,304229,0.0,0.0
Florida,19.6,38.5,6.1,67,,84024,2.5,83.6
Kentucky,19.9,39.8,11.7,53,,2608,30.3,94.3
Maine,20.2,47.0,10.6,85,,37752,2.0,94.1
Wyoming,21.2,46.1,14.2,20,,6100,1.4,75.0
Oregon,22.5,40.2,10.1,170,,40540,4.8,94.1
North Dakota,22.9,33.1,13.4,21,,141122,0.0,23.8
Minnesota,23.0,38.6,7.4,107,,18333,17.0,90.7
Michigan,23.1,41.2,16.4,177,,12753,15.9,97.2
Wisconsin,23.9,55.6,11.5,140,,14500,15.1,95.0
Missouri,24.1,28.9,19.8,113,,1135,91.0,96.5
Nevada,24.5,71.1,5.5,15,,2090,5.2,93.3
New Jersey,24.9,49.5,11.7,83,,2979,23.5,94.0
Massachusetts,25.0,47.8,15.3,113,,27176,2.3,95.6
South Dakota,25.9,37.1,14.8,13,,26633,0.6,53.9
Alabama,25.9,38.5,14.9,43,,540,98.3,97.7
Tennessee,26.0,36.9,16.4,66,,866,100.0,100.0
New York,26.6,39.3,18.4,169,,23132,16.0,92.3
Hawaii,26.6,52.1,11.1,10,,84,100.0,100.0
Indiana,27.5,41.7,19.6,119,,3894,27.9,99.2
Washington,27.9,35.2,20.1,113,,83007,1.4,91.2
Louisiana,28.7,36.0,12.6,24,,5689,9.4,91.7
South Carolina,30.3,41.0,16.3,57,,4355,18.8,94.7
Ohio,31.7,38.9,24.4,284,,2561,93.6,97.9
Kansas,33.8,40.0,17.9,24,,20181,1.0,91.7
Oklahoma,35.2,56.1,10.1,34,,2810,40.9,97.1
Virginia,35.9,40.8,31.2,444,,3166,87.6,97.1
Colorado,36.6,45.0,29.5,131,,785,93.5,96.2
Rhode Island,38.0,54.4,23.2,19,,74,63.5,84.2
Vermont,39.2,51.5,29.9,52,,1723,74.7,94.2
District of Columbia,39.9,58.2,28.7,25,,108,90.1,88.0
New Mexico,40.0,67.3,26.3,25,,386,41.1,96.0
Pennsylvania,41.0,51.6,31.3,754,,14148,51.6,97.8
Maryland,42.1,48.8,36.2,162,,4476,35.5,92.0
Iowa,46.2,57.6,34.2,85,,803,95.2,97.7
Utah,46.6,60.6,37.4,232,,2930,35.1,97.8
Arizona,46.8,69.8,4.2,10,,485,11.0,80.0
Illinois,52.9,57.9,43.2,121,,2096,44.5,97.5
Connecticut,54.6,67.6,42.6,44,,401,100.0,100.0
New Hampshire,55.7,67.2,49.4,59,,721,43.4,93.2
Nebraska,56.6,72.2,41.5,22,,238,90.7,90.9
Delaware,65.5,83.9,43.2,46,,416,83.9,87.0
