state,loss,confidence upper,confidence lower,beekeepers,beek exclusive,colonies,colonies exclusive,bexcl,year
Maryland,8.2,15.2,4.2,14,,4100,100.0,100.0,2007
Arkansas,18.2,33.1,8.9,20,,17456,100.0,100.0,2007
New Jersey,18.8,40.4,5.7,15,,23532,12.0,80.0,2007
New York,21.6,43.0,8.2,12,,29050,33.6,75.0,2007
Utah,25.5,43.5,11.7,28,,18159,100.0,100.0,2007
North Dakota,25.5,34.7,17.9,18,,113842,1.1,16.7,2007
Pennsylvania,25.9,38.9,10.8,192,,17688,48.3,98.4,2007
Montana,27.9,43.0,17.3,13,,62865,0.8,30.8,2007
North Carolina,28.0,48.3,13.4,16,,7866,100.0,100.0,2007
Mississippi,28.2,41.3,15.5,14,,9145,100.0,100.0,2007
California,29.5,39.5,20.7,36,,200704,9.2,13.9,2007
MultiStateOperation,31.1,40.8,22.9,43,,232439,0.0,0.0,2007
Georgia,32.9,41.9,19.7,15,,53956,100.0,100.0,2007
Florida,38.7,57.5,19.8,23,,75297,33.6,65.2,2007
Alabama,39.1,55.4,21.3,16,,5344,100.0,100.0,2007
Wisconsin,41.5,69.8,9.0,15,,8022,56.7,93.3,2007
Iowa,44.0,62.2,35.5,12,,723,100.0,100.0,2007
West Virginia,48.3,69.5,19.8,17,,3799,64.0,94.1,2007
South Dakota,51.8,67.7,33.1,18,,119404,81.6,83.3,2007
Michigan,54.2,75.7,21.7,15,,7302,94.7,93.3,2007
Maryland,14.1,26.8,4.8,15,,6134,100.0,100.0,2008
Georgia,18.0,24.3,11.6,44,,9192,87.1,95.5,2008
Michigan,19.1,30.5,5.2,21,,11243,62.2,90.5,2008
Arkansas,22.3,26.2,18.5,28,,7939,100.0,100.0,2008
Maine,22.8,33.5,20.1,38,,62630,0.4,92.1,2008
North Dakota,25.4,32.4,20.3,24,,312901,0.0,12.5,2008
New York,25.8,43.0,18.9,28,,42550,36.6,89.3,2008
California,26.0,31.1,22.5,60,,376399,2.3,30.0,2008
Florida,26.7,33.2,18.3,20,,41006,29.1,55.0,2008
MultiStateOperation,27.3,33.1,22.8,52,,409235,0.0,0.0,2008
South Dakota,27.9,41.0,21.0,27,,241966,1.1,22.2,2008
Texas,29.0,36.5,22.2,11,,62202,0.0,9.1,2008
Massachusetts,31.0,58.7,20.1,38,,25187,0.9,97.4,2008
Idaho,32.4,47.5,16.7,14,,53299,87.8,92.9,2008
Utah,33.6,55.2,13.4,27,,22526,72.0,96.3,2008
Pennsylvania,40.0,51.2,27.4,262,,13376,55.0,98.1,2008
North Carolina,41.8,59.4,27.7,51,,8653,100.0,100.0,2008
Louisiana,42.5,57.6,26.6,10,,86681,48.9,70.0,2008
Mississippi,43.6,53.1,20.9,15,,28506,7.2,73.3,2008
Wisconsin,44.4,50.0,36.5,17,,3871,100.0,100.0,2008
Virginia,45.7,56.4,33.0,36,,181,100.0,100.0,2008
Iowa,52.4,65.6,40.3,17,,14457,100.0,100.0,2008
New Jersey,18.8,46.0,4.1,31,,3966,4.0,77.4,2009
Utah,21.6,42.3,12.4,64,,8182,13.2,93.8,2009
Idaho,23.6,36.0,5.1,27,,27034,0.9,92.6,2009
Arkansas,24.4,35.0,15.1,50,,460,98.4,96.0,2009
North Dakota,26.3,32.6,18.2,30,,293331,3.9,26.7,2009
New Hampshire,27.7,48.3,13.9,76,,821,80.8,93.4,2009
South Dakota,28.4,44.0,16.2,16,,212653,0.0,12.5,2009
Vermont,28.6,44.4,15.4,68,,3189,69.7,94.1,2009
Tennessee,29.1,42.9,16.6,62,,702,84.4,98.4,2009
Alabama,29.1,37.8,20.0,46,,1411,95.3,95.7,2009
Missouri,29.3,41.8,17.9,42,,1058,73.2,95.2,2009
